"","x"
"196","Coonasses gonna coonass https://t.co/uwBojlxwuJ"
"197","@BR_CFB @BamaCentral @garlandgillen Authentic Coonass Gibberish from Corndog Parrish. Sweet."
"198","After squeezing a lemon, use the rind to rub the darkie parts of the elbows. It removes brackishness and you will feel positive changes in your face.
#Fashionista #accessories #clothes #designer #fashionable #fashionaddict #fashionblog #fashionstyle https://t.co/P39EIOxCek"
"199","When niggas in Red Dead Redemptoon 2 call me a ""darkie lover"" not knowing I'm a ""darkie"" in real life https://t.co/zItP3halTq"
"200","@ampaveli @DevinDavinci oh yeah I remember them saying darkie"
"201","@wsupden @DevinDavinci The context of a black man breathing the same air as them. Like 5 minutes into the game they say darkie <U+0001F62D>"
"202","@GoyetteSpawn Maybe she just using reverse psychology so she don't get raped by a darkie."
"203","@RoseWoo15096108 @HackDz @teriross69 @TomGardIII @Op_cause @MollySam1986 @GOPe_hater @______DKING____ @___DQueen___ @kellyannegoebb @romey18fl @Red_r_us @Sarahsfan2 @wilvikin @BillWalker14 @tiredpatriot1 @Nvablejrg @Vickie627 @JustJane59 @QAnonAQ @Vncenza2 @luizlemuz @cbowling4512 @JeffHarperArt @NancyParks8 @ShootesStraight @ArmyVet2x @Jazmine376 @cthefdown @Sftbalplyr77 @IHaveDanglyBits @bushie200 @LarryHumphries1 @JacquiT33697851 @Bootz_Adams @carolyncowbofan @DeplorableJWS @RageMadMaz @Trumputinlies @LizzyHock1963 @BuddhaKatze @Heathamommy @TrumpTroll35 @PersevereEver @clintonhill889 @laurakayl @rwmercer @USA_USA_1_ @chibearfan74_jr @WealDonoodTwump They are afraid of their own shadow. They see it and think a darkie is following them."
"204","@MfunekoS Plan to..giving myself 6 months. Ndixolel ulamb ayikho le. Just trying to set up lento ndifun uyenza then im leaving. Kunzim ubayi darkie kle republic of ct"
"205","This tweet says it all: A “liberal” @SenWarren supporter 99.999% WHITE is calling me a “racist fraud,” &amp; can’t stand a “Darkie” invented email, https://t.co/CCKhZZWkSA. Had I been on the debate stage, the truth Innovation occurs anytime, anyplace by ANYBODY would have come out! https://t.co/esxfBKgM5X"
"206","I have seen GOOK kids slither right through this on guard duty.  Put CS gas traps in these.  I can assure yu it will work!"
"207","@GroyperPunished @EthnoSk8 Gook.JPEG"
"208","@Hotline_Ching <U+0001F92F><U+0001F92F><U+0001F92F>"
"209","BLOK BLOK GOOK
Created By David W. Tijerina Jr.
Episode “Last Years Memory” https://t.co/6OCWE59r7b"
"210","@SallyQYates @staceyabrams you are the only persons that are suverting the will of the people hacking the Secretary of states office of Georgia as a Clinton rule goes by gook or by crook we will win  I hope the vote is so one sided that all you leftist have no choice but to crawl back under a rock"
"211","Just saw #gook — didn’t know my boy #davidso was a dope actor too. First movie to make me cry in a while"
"212","@jakiepoo810 Mei ling: stop being mean to bug you guys are just mad he has a bigger ding dong. 
Snake: is that some kinda Chinese gook proverb"
"213","imma keep juggin till i hit the jackpot, gook ass niggas y’all makin the trap hot!"
"214","@kkkitsune announcement: i am giving a gook pass to anyone who reads this please call jillian a gook"
"215","This is the same gobbly gook that people fell for from the Trump campaign til now. He made promises that he never intended to keep. Y'all voted based on fucking promises and no detailed plan. We have dismissed pols for less than this in the past. #Shame https://t.co/8Iuusms99b"
"216","I will ape the goombah, if you tire"
"217","Like the cute drunk guy to my right was just singing along to Walking on Sunshine, and the goombah to my left was berating the bartender. Here I am just a simple girl in a high tech digital world."
"218","Yooooooo https://t.co/6gHpswSFJY"
"219","Hell yea mf putting his foot in that chicken literally https://t.co/G1Kx8MiE62"
"220","@sungloku I watch that shit faithfully funniest shit ever"
"221","@sungloku You watch they show? that shit really funny af"
"222","EAT Z PASS <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> https://t.co/rk3oAveyk4"
"223","Finesse https://t.co/VAk6lLgLp4"
"224","Plus j'avance dans MHGU et MHW, plus j'ai envie de faire une série de vidéos sur les monstres et leurs origines, à la manière de Gaijin Goombah. À chaque fois que je découvre un nouveau monstre, je me dis ""Oh tiens lui il a telle caractéristique c cool! """
"225","@LonelyGoomba oh boobs you say... NO THANK YOU. lol but seriously I'll check out his video. I've watched Gaijin Goombah before. I like his channel as well as yours."
"226","@JTAnews Goy"
"227","zoljargal gej ymar goy huuhen be, durlaad uhchiltein blee"
"228","@Communism_Kills @SpasticusA @WillGalladryn Oy,this goy is okay with being called goy."
"229","@new_engine “Get behind the mind of a mass murderer and step into his shoes to figure out the meaning of world peace through the tinted vision of an extraordinary goy”"
"230","Yoga shooting blamed on YouTuber misogynistic views +The ""goy"" in the window

Read the decode on this shooting here:
https://t.co/VdM1fS1kgX

Read the work decoding the victims here:
https://t.co/rnVDcdJPWd https://t.co/UH7iOMeFhN"
"231","@HappyManor @Decentguyusedto I prefer ""Goy'."
"232","@DulMephistroth @TheBrannon1776 &gt;Jewish friend
Good goy."
"233","It's funny how prior to slew of antisemitic attacks I was relatively content with being a goy who practices Jewish rituals. Now I'm back to seriously considering converting."
"234","@goyim_know @W_McPrivilege Kanglish"
"235","@NBCNews A shanda for the goyim if that’s a real story"
"236","@ElleLatham @wikileaks Oy Vey. Don't be anti-semetic. The goyim can't know.

Surprised wikileaks doesnt include the key player in the 9/11 operation."
"237","Oh gawd goyim we thought you were going to let us have the Monopoly on controlling and interpreting your history to subvert your consciousness in peace! https://t.co/1AMJ1Jbqwy"
"238","@RoddTraft @SleepScarecrow wow you didnt say ""goyim"" that mustve taken some restraint"
"239","@nypost They made the goyim know just a little bit more..."
"240","@SecretsOfPapacy @AmericanJewry @Ian56789 @VictoriaInCO @TorahJews Every jew In the world support policies against #Iran, #Syria and the gentile world. The Jew World practice these policies

Also check the Kol Nidre pray

Also they dont reject rabbinical teachings In the Talmud, very antigoyim teachings, so, please, another goyim yo that"
"241","And you should especially STFU about this if you’re goyim. I really don’t care what you have to say about whether me, Bernie Sanders or anyone else is a Jew, because I’m pretty sure the facists won’t be as exacting in their definitions as you are."
"242","@CasimiroRC @DanielD24963063 @NoticiasCaracol @JuanDiegoAlvira @integracionbta Toma ejemplo de Daniel que montó un refugio humanitario en su casa por amor a los hermanos venezolanos que padecen la crisis por bloqueo gringo y sabotaje de gremios y la derecha venezolana. Bien Daniel, gracias!<U+0001F44F><U+0001F44F><U+0001F44F>"
"243","@DSAEastBay @OurRevolution @Wimeraner took some"
"244","Support #UWGCM by eating at Gringo’s Texas City!! Tomorrow only, dine-in or take-out and Gringo’s will donate 20% of your final bill to UWGCM! #EatForACause #LiveUnited https://t.co/IyJwxgq1SE"
"245","@B9nu_3rabi1n @The_Most_Syrian @Samantha______L @GacMars @MaevaOsseiran (1) Il m'a fallut 30s de recherche pour comprendre que l'haplogroupe J est apparu il y'a entre 10000 et 20000 dans le Moyen-Orient, c'est à dire à la période néolitique. Remontes plus loin encore, tu découvriras que la vie est apparu en Afrique."
"246","o gringo só foi um toque pra ficar mais inesquecível"
"247","@_VicenteSerrano Me encanta la imbecilidad del gringo que insiste en creer que el sombrero ese de borlitas rojas, que es de tableaor flamenco, es de alguna etnia mexicana. Pobres idiotitas da lástima su ignorancia. @jrsestaca"
"248","@RubenBarraza11 Tráeme unos Cheetos mejor, amigo gringo"
"249","“A Gringo Guide to the Mexican Revolution” – A 56 page, coffee table style book with the complete, bloody history of the Mexican Revolution 1910-1921, with lots of great historic pictures.... https://t.co/w8OrOjcmXj"
"250","A Gringo Guide to the Mexican Revolution https://t.co/w8OrOjcmXj via @williamjconaway"
"251","Hoy es el juicio del Chapo, qué nervios. Ahora con qué historias saldrá el sistema judicial gringo que siempre se avienta unas hollywoodenses que ni mandadas a hacer!

<U+0001F436><U+0001F436><U+0001F436> nervios! https://t.co/Msdxw4HQgR"
"252","#05Nov Hoy celebran su onomástico: Ángela, Bernardo, Domingo, Geraldo, Gregorio, Guido, Isabel, Juan, Marcos, María, Narciso y Zacarías."
"253","@IL0VEthe80s My great uncle traced our family back and Guido “Guy” Fawkes is our naughty ancestor...<U+0001F62C>"
"254","Me parece una falta de respeto que no este Guido en ese XI. https://t.co/fNTAKytVO6"
"255","CONVOCA A GUIDO RODRIGUEZ @lioscaloni"
"256","It’s #throwbackThursday and it’s #jerzday 
I love this throwback pic of me and hbgirl5 posted  in honor of jerzday and #tbt 
you’re the Vinny to my Pauly lol #fun #guido #fistpump… https://t.co/zCz47B7wJs"
"257","Sin maquillaje #SinMaquillaje #AlNatural #MeDaFlojera #MenosQuimicos #Asi #MeAmoAsí https://t.co/CrQ3e4Hq5F"
"258","Estas son las madrugaditas... <U+0001F3B6> 5 de noviembre!
Happy birthday madre querida y madre adorada.
Pura belleza :p heredada... Dios te llene de bendiciones siempre y te regale  cien años más… https://t.co/gUV8vmSMlR"
"259","@evoespueblo Pobres pelotudos , Evo andate hdp"
"260","@TNFamosos @todonoticias Parecen padre e hijo.
Me recuerdan a Guido y Tomasito <U+0001F61C>"
"261","Saint of the day https://t.co/gZVZng08Us"
"262","@mufc_hadji @UnitedTrinity68 @crimesofbrits Of course not. But there is another English-based footballer who has been getting dogs abuse for the last few years for the very same stance. Why is he different to Matic? Seems to just be some vitriolic anti-Irish sentiment from a bunch of thugs at every game."
"263","Madjid Hadji @MadjidHadji4 https://t.co/uhDUAg9Ihu"
"264","@keithhernandez I can see why you love Hadji.  We have three fur babies ourself.  Thank you for sharing him with us."
"265","@keithhernandez Bailey says hi to Hadji https://t.co/0Kit9OiwR0"
"266","@keithhernandez Hey Keith. Great words of encouragement for us fans. I’m glad to hear Hadji is enjoying Florida.  I hear the Tuna is fresh down there this time of year.... Right @keithpurrnandez ? <U+0001F420>"
"267","@keithhernandez Hadji knows how to spend Sunday..."
"268","@keithhernandez When are you and Hadji going live?"
"269","@keithhernandez Did hadji ever get his tuna?"
"270","Get your Hadji 2019 calendars #LGM https://t.co/2dPlYXUScw"
"271","@keithhernandez Hey Keith, how do you get Hadji to FL? We have to move our 2 cats from NJ to NC next year &amp; trying to figure out best way."
"272","@whatsatalia This haole doesn’t think racism is still bad and here in 2018??? Omg I just had a Vietnamese child cry to me at work about how kids in his school (Norwalk schools) make fun of his eyes, say racial slurs and call him yellow skin"
"273","@Republican_1973 @MSMEnemedia There’s this thing called “kill a haole day” in Hawaii (kill a white) I was one of 3 “haole’s” in school. 3rd grade, 40 kids between  ages 17-9 chased me home. When my mother saw what was going on she made me fight 1, of equal size, giving me pointers before hand."
"274","“All the locals think he’s a high maka mak. Any moke outside these gates would want a piece of this haole” -direct quote from the Magnum P.I. reboot lmao"
"275","Biscuits and gravy! We walk in it’s a bunch of old haole people with their news papers &amp; coffee. I’m like ok give me the menu please tell me there’s some mimosas atleast. NOPE! <U+0001F926><U+200D><U+2640><U+FE0F> I could’ve rolled out of bed for this or even got a workout in... instead of washing my hair and"
"276","@woke_hoover @JohnLockesKnife His timeline is him and all his stans saying it's okay to be anti-Semitic when it's about Bernie"
"277","@RealTimers @bariweiss ""But it owns to airhole unarmed Palestinian kids, so he's doing that right."" -Bari&amp; Bill"
"278","@AgrippaNothing Troop worship causes brain degeneration esp since these aren't even real Are Troops yet"
"279","@marinafang @lib_crusher ""He made a racial whoopsie"" was the draft version"
"280","My new friend from yesterday...he asked my Mom if he could take me home...she said “No, but I’ll share Haole with you”, and he responded “No, I’ll take him home!” G-you were a rockstar yesterday! #awowfamily <U+0001F9E1><U+0001F9E1>
.
.
#standwithhaole #ambassadog #awalko… https://t.co/CYiMXZKu0A https://t.co/HwMSiX4BQf"
"281","@Haole_Bill 1789: The military is subject to control of an elected civilian. 

2018: The President is a Super Troop and it is within his right to demand an animal be used as a football for the good of Our Nation."
"282","Today's @DailyAthenaeum #HornsDown https://t.co/UxNXa5sAW5"
"283","@juliarain_ and @Cieraaaaa_26 the optimistic hillbilly retard duo."
"284","@tannerthehammer Homeboy I am not advocating to take away your hillbilly mud ridding beer shotgunning raised yeehaw trucks, but reduce deforestation and teaming up with other European countries to pass legislation that allows for the reduction of Co2 emissions."
"285","Fri, Nov 30 9PM | The Wiyos | Gleefully subverting genre distinctions, their music comes from a time before commercial formatting separated blues from country, ragtime from gospel, and swing from hillbilly https://t.co/2zT21W8qIX #thewiyos #hudsonNY #helsinkihudson https://t.co/wzVVMsFLaF"
"286","According to #Democrats it means you are a toothless inbred hillbilly racist. https://t.co/n1aQDSuSm8"
"287","@ezraklein Strong economy, tax cuts, North Korea in the right direction, pulled out of Paris accord, pulled out of TPP, renegotiated NAFTA, reduced regulation, brought jobs back.

Yep - pure identity politics because his hillbilly base just hates them different folks."
"288","@Rey_Sistance Theee are extreme right wing militias waving banners with Donald’s name in them, ready to do violence on his behalf while he empowers them during his Nuremeberg hillbilly rallies. We are at a perilous precipice politically."
"289","Hillbilly trying his luck with morning black out games #affiliated #smallstreamers #smallstreamercommunity #pathtopartner #SmallStreamersConnect @SmallStreamersC #SupportSmallStreamers #twitchso https://t.co/EsWECqIBK8"
"290","His fit slick tough, he look like a freshass htown hillbilly https://t.co/cIoiLKzkIb"
"291","@wildmanfromWisc @DykstraDame Good let’s make a case to throw Hillbilly Hillary in jail."
"292","@_honky_tonkin And ten more just in case that don't do the trick"
"293","Honky Tonk Badonkadonk came on the radio &amp; I had to explain “britches” to my Colombian boss so I’d say my week is off to a good start"
"294","Wishing everyone a Honky-Tonkin’ week. #Honkytonk #realcountry 

https://t.co/KM0m8fFYRQ"
"295","@honky https://t.co/q4qzuBQ7J4"
"296","So excited that this new version of @GettinSweenered is following me because she plays “honky took” music. It’s my favorite. https://t.co/S8TOQh9LaO"
"297","Hey, why'd I have to dress up for to come here, put on a shirt and a tie? 
What are you talkin' about, Pop? This is a nice place.
This ain't no honky tonk bar.
Look like a bunch of honkies to me.

So much shit you can't say anymore. Love this show."
"298","THE SOUND: Whitey Morgan performs honky-tonk road show at Wooly’s. When Whitey Morgan was a child, his grandpa played guitar, strumming the tunes of Johnny Paycheck, Hank Williams, Johnny Cash and other country classics. https://t.co/q90U8Vk2rv https://t.co/EN274vP1NU"
"299","@realDonaldTrump @AndrewGillum @RonDeSantisFL I don't think the voters in Florida want to Honky this up."
"300","Phone In Heaven Live at Honky Tonkin Opry'
#mikemanuelmusic #missioncountryontherow https://t.co/Z7BDDW8cQN"
"301","I’ve got two dollars in the jukebox
five dollars in a bottle"
"302","@FitGem71 @Kierryk345 @TalbertSwan @OhioState I am neither. I am a Latina that looks white. I realize that means I have a certain amount of privilege. And I mean to use that privilege in defense of POC. I speak honkie."
"303","It’s crazy what you doing to the country honkie https://t.co/pm6Gkayuix"
"304","@Funkie_Honkie @ConcernedLibby @Mottel ANYONE who is lost will be found"
"305","@Funkie_Honkie @ConcernedLibby @Mottel I say that only when all true Christians convert to Judaism will there be the Second Coming. Jesus came to return the ‘lost lambs’ of Judaism back to Judaism because as many people forget there were ten Lost Tribes of Israel. Christianity is how they are gathered back to Judaism."
"306","never eating that honkie establishment <U+0001F92E> https://t.co/UeLsFC5Rnw"
"307","So last night I went to a honkie tonk and since I don’t drink I was packing. Met a chick and while we were dancing she felt my gun and whispered in my ear that a man carrying made her wet. She hasn’t left my house yet <U+0001F4AA>"
"308","@Cait_Lawlor Yall put tha brakes on sista  : :they be haulin you ass of to tha funny farm : yall no what i mean  : ::no jive as honkie gonna git me wit his strait white coat  yall <U+0001F628><U+0001F628><U+0001F628>"
"309","This the most honkie shit I’ve read all day lmaoooo https://t.co/AU2qvlaICF"
"310","@Funkie_Honkie @ShaineScalph @PetiteNicoco AAAAAAAAAHHHHHHHH"
"311","@Funkie_Honkie @getongab So, literally, Gab is pro-violence, and that means gab is against free-speech because violence suppressed free speech."
"312","@DonaldJTrumpJr A live look at Streisand on election night. How much you want to bet Captain Hooknose doesn't leave after the Red Tsunami next week? https://t.co/P052zi9rgt"
"313","hooknose on nick's stream rn lmao"
"314","@markhumphrys @sn0wball11 How can someone be an actual Nazi in this day and age? They can follow Nazi beliefs and support the regime and idolize what they did but can someone be an ""actual Nazi"" as you put it. And I'm sure if you look through your family history you'll find a hooknose somewhere!"
"315","@brandondarby Truly said like a person who didn’t grow up in “flyover country” their whole lives only to be told to “go back to New York” and get hooknose gestures made at them. There are plenty of Jews in flyover country, they know things you don’t and some of them were murdered yesterday."
"316","@curvycon75 @Voteforthefrig @xeni He's a drunk like a Kennedy. My father used to call ladybird johnson old hooknose"
"317","10 Newly trained Indian Foot Massage Therapists will soon be ready to make your feet &amp; lower limbs feel amazing! Justine our demo person (not a student) remarked at how this treatment made her feel like she  had had a full body massage treatment. @NHPCANADA @MTCanadaMag @RMTA1977 https://t.co/PFimyR6aiC"
"318","It's more than 2 months until the next Indian Head &amp; Indian Foot Massage Training in #yyc but both courses are filling. There are now 4 seats only for the Jan 2019 IHM Course. https://t.co/BRKJSFMCgY  @RMTA1977 @NHPCANADA @MHVicarsSchool @spascanada @SpaIncMag #massagetherapist https://t.co/cL8UvizFY0"
"319","Imran is dressed up in Indian wear, few days ago kabir was in red attire, what’s going on, are they coming up for some celebrations or it’s for Diwali? I am confused as they mentioned about Zara and kabir going to Mumbai #Ishqsubhanallah"
"320","A great day at the Indian Festival this Saturday with the @pilotbank team, @kat_pro CEO Kothand Rajangam &amp; @pateltimes. https://t.co/6FdtKyyY4u"
"321","Indian villagers crush tigress to death after she killed man: https://t.co/AXIdz1KGiT"
"322","barak Adeline Lange XXX Video Indian Sex Videos Amateur Sex video indian group sex cock massage fuck for money  h hours agoPompini Sexe Plage Suomi Porno XXX videos Porno Video Deutscher Porno Swiss Porn Mom 52318"
"323","Indian villagers crush tigress to death after she killed man: https://t.co/qmG9Qf9ly8"
"324","porn  h hour agoSwedish Erotica Adeline Lange XXX Video Indian Sex Videos Xnxxx XXX Porno PornoVideo Xnxx Videos PornTube XXX hardcore sex XXX girl with pussy cock cum sara st fuck pussy  h 69007"
"325","An Indian Reservation is still classified as a nation within the U.S. They have their own government, etc that's why a number of reservations have casinos in states where gambling is not allowed &amp; at one time, tax free cigarettes. Now, I haven't kept up some laws, so.... https://t.co/lyzrTpU5b4"
"326","Meet the 91-year-old Indian gynaecologist who has been treating her patients for free since 1948. #infinitefireinc #gynaecologist #freemedicalservice https://t.co/aUxulUbI0a https://t.co/Qs0sf9k8di"
"327","h hours agoJapanese Sex zle video LiveJasmin Sexy Ass Femmes Matures XXX XTube Arab Sex porno izle video XXX sex xxx Sex Hardcore Porno Videot Brazzers Video net video girls jap porn milf orgy  h hours 10050"
"328","I'm trying to fuck — Man it's wayyyy too early for all this, Kade Satnaam vi jap leya karo https://t.co/NiKn6K0xrH"
"329","I disagree with the entire article, so much. They never experienced #AntiSemitisim first hand? Really? None of these women were ever called ""A Jew"" or ""JAP"" because these aren't fun little jokes these are anti-semitism. https://t.co/pTu7JpDgJv"
"330","h hours agoJapanese Sex zle video LiveJasmin Sexy Ass Femmes Matures XXX XTube Arab Sex porno izle video XXX sex xxx Sex Hardcore Porno Videot Brazzers Video net video girls jap porn milf orgy  h hours 4333"
"331","@JAP_squared I do this to juan and she gets annoyed with me too haha"
"332","Follow built 2 win for great car prizes, for cheap ticket prices. Now up for grabs is a 400bhp Evo waggon
#cars #evo #built #JDM #Japanese #jap #stance  #Competition #japfest
#follow #win #MadAsHell #mods
#vehicle
https://t.co/A2TtHZy4Oj"
"333","#US #sanctions #waivers will add to #Iran #oil sale in Nov. SK imported almost 0 b in the past few months, Jap also reduced imports significantly. They didn’t give any order to #NIOC for Nov.
Iran shipped more oil than it sold for Nov, so its ready to deliver oil to SK &amp; Jap."
"334","Jap kau buat autocad acane? 
Pinjam laptop member ke? https://t.co/Mx5QMGmCY6"
"335","ohhh you added jap and weibo. thank you! https://t.co/rA2rCBV0AD"
"336","Rifleman, 10th Army, 32nd Inf., 7th Div., searches Jap. prisoner emerging from cave, Okinawa @Militarydotcom @WW2Facts @WWarII @USARPAC @HISTORY @HistoryToday @historyinmoment @Battlefields @WWIImuseum @WWIIpix @wwiimemories @kenburns @veteranstoday @DAVHQ @votevets @VFWHQ #books https://t.co/KTczUioJNr"
"337","@thehill What do you expect from a Jew? Every single time"
"338","@LunneySinead @NetzahEternal @MountTzion @dbuscemi1949 @SimonBradley22A @Ahrrggghh @yoni_yonder @dlsmith0817 @DeepStateNewZik @RabbSol @Peppi1207 @VeronicaTalbot9 @18KOP92 @umustbe @twaldman @zodluc @sammynoor11 @realChaim_Rubin @speedymc67 @antiwar1954 @Peace2Palestine @Karen_E_Leon @KhalidAlThaniQA @Pakeha56 @BaruchMaimon @affinity292 @amirshah316 @alan_emet @DHasbara @WVBeaulieu1 @Darkplumm911 @JCAisback @UpYourAss7 @LogicAndSanity @BigDuke077 @daviel_raviv @nissatal @LearsiReverof @AngryScreed @qamndap @HarveyBLewis1 @jeffrico @pursuinjustice @TheRandomJew @KnightRider8491 @DSDloveyou @CanfieldKenny @Kat76309756 @JerryFuhrman2 Jew, defined, you deny, Hebrew Defined, you deny. Do you understand how hopeless your argument is?"
"339","Muse thought FDR was part of Soviet plot: ""That crazy man in the White House will Sovietize America with federal  handouts of the Bum Deal--sorry New Deal. Or is it Jew Deal?"" TX Monthly 2/86 p. 116."
"340","@prayingmedic @PatriotGinger Except Soros stole from Jews....so pretty sure they took his Jew card away.  He’s an admitted Atheist."
"341","Jew team 3 bh"
"342","12 days ago: the worst #antisemitic violence ever in North America. 
4 years ago: filmmaker @MartinHimel  documented its rising tide worldwide in the shocking, but hopeful 4-part series #Jew Bashing for @VisionTV. #Watch here: https://t.co/CHmR2qgczy #humanrights https://t.co/6zieqvrMV0"
"343","@AMErikaNGIRL07 @Golfinggary5222 @AmyMek @parscale @mattgaetz @LaraLeaTrump @DonaldJTrumpJr @DineshDSouza @seanhannity @realDonaldTrump I guess then they are at it again ,not disguising it either ....they have done it to me ,a conservative vocal Jew a few times.....tooooo many!"
"344","@Flaxc0 @jillpoll @israelradioguy @KhalidAlThaniQA @ZealouslyQuoted @gossip_ink @yoni_yonder @JKapushkin @sammynoor11 @dlsmith0817 @tzion_7 @affinity292 @daviel_raviv @MMayerhoff @JudgeFudge5 @erythrea2013 @RogerWilliams43 @LyraSAndPan @Jew_ofPeace @pursuinjustice @Scripteladora @deirdre11187011 @delta9mufc @EmsEdwards @Shark1718 @DohanyJulian @lanceforfrances @Yosefman222 @hands_derek @DultKathy @AnahitaAredvi @malkaavram @JeanEngel777 @tvigy2 @Peppi1207 @rabbottmusician @joaniebillings @VeronicaTalbot9 @Felicia71627489 @DlaminiSinclair @londonjimmya @stscholasticas @OsamaNayfeh @theONEhermit @AD_4G @PaulaSwan10 @DSDloveyou @Aishaabdi311 @qamndap @Legally_Israel LIAR. NAME BAMES AND SHOW PASSAGES. you are a JOKE."
"345","My grandparents came from Russia and I am not Russian. I am Jewish. It doesn't matter how many generations my lineage goes back. I will -never- be Russian. I will always be a Jew. That's just how it is. I can no more stop being a Jew than a Latino can stop being Latino."
"346","There's a mispreception among some non-Jews that Jews can stop practicing our religion and the anti-Semites will stop hating us. This is not true. I'm an atheist and they would still put me in the gas chamber for being a Jew. Being Jewish is not just a religion."
"347","Why does @TheTomTodaro remind me of Stanley Yelnats from Holes? Idk. Maybe it's cuz he's a jew-bag #jew #haha #fuckinjew #jewboy #lilfluffyhairedjewboy"
"348","@RealMaimonides As a self described Jewess, maybe you could enlighten me about which theory about the way society operates is more hate causing and destructive in the modern world, ""the International Jewish conspiracy"" or ""patriarchy theory""? Which is falsifiable or disprovable and how?"
"349","Acts 24:24 And after certain days, when Felix came with his wife Drusilla, which was a Jewess, he sent for Paul, and heard him concerning the faith in Christ."
"350","@nowthisnews @ilazer The Jewess cries out in pain as she strikes you"
"351","@FraterRogerus They dont look a jewess.. ..more like attention hungry."
"352","@pinkcouchlady9 My favorite skit of her is ""Jewess Jeans'. I know every words and will bust out singing it at any time."
"353","My mom was more shook by a man trying to sell her drugs in the village than when she was hit by a car last night. New York is too wild for her"
"354","@Trash_K1ng I prefer daylight spendings"
"355","It's dark at 5 PM wtf climate change???"
"356","@mermaid_jewess @Trash_K1ng lmao <U+0001F602>"
"357","@mermaid_jewess bitch it’s daylight savings"
"358","Look at this jigaboo https://t.co/IhKLFDQEJf"
"359","Someone get this jigaboo away from me!"
"360","Uncle Jigaboo 2x"
"361","She want that jigaboo dick <U+0001F92A>"
"362","@Leobear__ Will someone get this jigaboo out of here https://t.co/7fRS7SzIdR"
"363","Someone get this jigaboo away from me!"
"364","i be ready to slap fire from between this nigga eyes i stg <U+0001F602>. Don’t nobody know how to strike my nerves better than this jigaboo"
"365","@Jigaboo_Josh @TennStateQues On JESUS lol"
"366","Lil jigaboo groyper https://t.co/JzG2iqEQz6"
"367","@Jigaboo_Josh we not a dance group like others"
"368","Hey jihadi Justin?! Are you watching???? https://t.co/LIx6dF73KO"
"369","Diversity is our strength..
#muslimban #BuildThatWall NOW
JIHADI DREAMER, 19, from Syria ???raped teacher at Swedish high school' https://t.co/9Tx62JQ7Do via @MailOnline #CaravanInvasion #MorningJoe #Caravan #OpenBorders #MAGA #foxandfriends #MondayMorning #VoteBlueToSaveAmerica"
"370","Thus spoke the jihadi mayor. You are making #London into a world class #Shithole https://t.co/fn5htvHLX9"
"371","@AMike4761 Sarsour is a jihadi Terrorist out to destroy America she has to go <U+0001F480><U+26B0><U+FE0F><U+0001F1FA><U+0001F1F8>"
"372","@BorzoiBoskovic Just so we are clear, you jihadi lover:  ""HIAS took out ""Hebrew"" from their name b/c they don’t support Jews or Israel"" JUST LIKE YOU DON'T.

So once again, NAZIS and COMMIES share the same STD."
"373","Why Women and Children Stay Silent During Islamist Abuse https://t.co/ZWn4vTlk8T"
"374","@StaaarFiiish @BBukeeB @OrwellNGoode I totally assume that every foreigner is a jihadi. It has nothing to do with problems escalating with certain groups of people, especially in certain countries. My concerns are racist by default because I can see the possible problems with it where you see rainbows and lollipops."
"375","@BBukeeB @StaaarFiiish @OrwellNGoode Being anti-jihadi is now racist? You serious? When did that happen?
Just like open borders, it's bad to have basically open army. It's too easy to exploit for any reason."
"376","@NeilClark66 @HJS_Org Frankly im more concerned about the 3-5k Jihadi's wandering around unchecked and those we allow to return from the middle east.But of course it's apparently racist to talk about that."
"377","@FoxNews @trumpcardup Add Policy to leave this jihadi in Iran.... https://t.co/hBFONJ0wKu"
"378","Deleite visual de la perfección de la 5ta. Sinfonía de Beethoven. #BuenLunes

Fuente: DoodleChaos https://t.co/rH30oRFHjM"
"379","@kike_125 ES OBVIO pero es un CHISTE, tengan sentido del humor"
"380","@Nordica_Libros Las vuestras las guardo en el libro correspondiente, son preciosas. Las de Kike de la Rubia (creo que eran de él) también me gustaban mucho. El resto generalmente las pierdo, suelen ser “publicidad esngañosa” y dan un poco de vergüenza ajena de tan hiperbólicas."
"381","La mejor ciudad del mundo. https://t.co/KP1QqAifZL"
"382","Y de ""cholos"". https://t.co/u5vOBZeYgw"
"383","Hasta que entendamos que la desidealización es un proceso normal y necesario vamos a dejar de vivir con caretas y en nuestra fucking burbuja. La realidad sobre la ilusión no es el final, es el inicio."
"384","Thank you  everyone for the lovely  prayers and birthday wishes.  I really appreciate you all. May we continue to celebrate with one another. #ForeverGrateful <U+0001F618><U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F>"
"385","El disfraz más temido de este Halloween https://t.co/bzGNYCO4bT"
"386","@Kike_________ Jajaja nomás"
"387","He perdido mucho respeto de las personas solo porque se dejan llevar por una red social. Quien me conoce se queda, quien no, seguro no estará."
"388","Og Mandingo wrote “The Greatest Salesman in the World” a best selling book in 1968. Happy Monday everyone! #ogmandino #happymonday #letsgogetit #freshstart… https://t.co/HqKNxT82Jv"
"389","@supersoniclemon It shows that you know who Mandingo is."
"390","You might obsess over something more than you have time to spa... More for Scorpio https://t.co/j4CG1ZRBTI"
